"archive_path","entry_path","depth","entry_kind","uncompressed_size_bytes","compressed_size_bytes","last_write_time"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/3screws/T3_Delta_T_data.csv","2","file","104636254","1420721","2025-04-23T10:41:30.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/3screws/T3_X_data.csv","2","file","57685264","15167189","2025-04-23T10:38:06.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/3screws/T3_Y_data.csv","2","file","59037233","15002733","2025-04-23T10:38:54.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/3screws/T3_Z_data.csv","2","file","57445122","15301635","2025-04-23T10:39:44.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/3_14screws/","2","directory","0","0","2025-04-17T11:32:50.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/3_14screws/T3_Current_data.csv","2","file","53268117","7182166","2025-04-23T10:54:00.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/3_14screws/T3_Delta_T_data.csv","2","file","104498260","1417248","2025-04-23T10:54:40.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/3_14screws/T3_X_data.csv","2","file","57426087","15347171","2025-04-23T10:51:52.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/3_14screws/T3_Y_data.csv","2","file","57440190","15309703","2025-04-23T10:52:26.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/3_14screws/T3_Z_data.csv","2","file","56949402","15688523","2025-04-23T10:53:14.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/4screws/","2","directory","0","0","2025-04-17T11:25:10.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/4screws/T3_Current_data.csv","2","file","53196789","7622810","2025-04-23T10:35:48.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/4screws/T3_Delta_T_data.csv","2","file","104698421","1429284","2025-04-23T10:36:42.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/4screws/T3_X_data.csv","2","file","57598658","15164089","2025-04-23T10:33:22.0000000+08:00"
