epoch,t,truth,score,verdict,predicted,ewma,cusum,quarantine,n_known,source_mode
4,201,8screws,0.9275,healthy,8screws,0.0191,0.0,0,1,manual
4,202,8screws,0.7661,healthy,8screws,0.0176,0.0,0,1,manual
4,203,8screws,0.8387,healthy,8screws,0.0162,0.0,0,1,manual
4,204,8screws,1.0256,unknown,,0.0949,0.03,0,1,manual
4,205,8screws,0.7888,healthy,8screws,0.0873,0.0,0,1,manual
4,206,8screws,0.9306,healthy,8screws,0.0803,0.0,0,1,manual
4,207,8screws,1.0272,unknown,,0.1539,0.03,0,1,manual
4,208,8screws,0.8758,healthy,8screws,0.1416,0.0,0,1,manual
4,209,8screws,1.0092,unknown,,0.2103,0.01,0,1,manual
4,210,8screws,1.0366,unknown,,0.2734,0.05,0,1,manual
4,211,8screws,0.988,healthy,8screws,0.2516,0.03,0,1,manual
4,212,8screws,0.8051,healthy,8screws,0.2314,0.0,0,1,manual
4,213,8screws,0.8497,healthy,8screws,0.2129,0.0,0,1,manual
4,214,8screws,0.8824,healthy,8screws,0.1959,0.0,0,1,manual
4,215,8screws,0.8636,healthy,8screws,0.1802,0.0,0,1,manual
4,216,8screws,0.8547,healthy,8screws,0.1658,0.0,0,1,manual
4,217,8screws,1.0265,unknown,,0.2325,0.03,0,1,manual
4,218,8screws,0.8548,healthy,8screws,0.2139,0.0,0,1,manual
4,219,8screws,0.6346,healthy,8screws,0.1968,0.0,0,1,manual
4,220,8screws,0.8127,healthy,8screws,0.1811,0.0,0,1,manual
4,221,8screws,0.9731,healthy,8screws,0.1666,0.0,0,1,manual
4,222,8screws,0.8278,healthy,8screws,0.1533,0.0,0,1,manual
4,223,8screws,0.847,healthy,8screws,0.141,0.0,0,1,manual
4,224,8screws,0.8342,healthy,8screws,0.1297,0.0,0,1,manual
4,225,8screws,0.8478,healthy,8screws,0.1193,0.0,0,1,manual
4,226,8screws,0.9752,healthy,8screws,0.1098,0.0,0,1,manual
4,227,8screws,0.7471,healthy,8screws,0.101,0.0,0,1,manual
4,228,8screws,0.9235,healthy,8screws,0.0929,0.0,0,1,manual
4,229,8screws,0.9013,healthy,8screws,0.0855,0.0,0,1,manual
4,230,8screws,0.8409,healthy,8screws,0.0787,0.0,0,1,manual
4,231,8screws,0.8944,healthy,8screws,0.0724,0.0,0,1,manual
4,232,8screws,0.6288,healthy,8screws,0.0666,0.0,0,1,manual
4,233,8screws,0.7386,healthy,8screws,0.0612,0.0,0,1,manual
4,234,8screws,0.8202,healthy,8screws,0.0563,0.0,0,1,manual
4,235,8screws,0.9043,healthy,8screws,0.0518,0.0,0,1,manual
4,236,8screws,0.9545,healthy,8screws,0.0477,0.0,0,1,manual
4,237,8screws,0.7619,healthy,8screws,0.0439,0.0,0,1,manual
4,238,8screws,0.8478,healthy,8screws,0.0404,0.0,0,1,manual
4,239,8screws,1.0489,unknown,,0.1171,0.05,0,1,manual
4,240,8screws,0.7903,healthy,8screws,0.1078,0.0,0,1,manual
4,241,8screws,1.0777,unknown,,0.1791,0.08,0,1,manual
4,242,8screws,0.7884,healthy,8screws,0.1648,0.0,0,1,manual
4,243,8screws,0.9559,healthy,8screws,0.1516,0.0,0,1,manual
4,244,8screws,0.7738,healthy,8screws,0.1395,0.0,0,1,manual
4,245,8screws,0.9657,healthy,8screws,0.1283,0.0,0,1,manual
4,246,8screws,0.9375,healthy,8screws,0.1181,0.0,0,1,manual
4,247,8screws,0.781,healthy,8screws,0.1086,0.0,0,1,manual
